"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01068579685943e-06,0.330569225402911,0.377,0.172,0.0134956874454639,"3","FDX2"
1.01223833317041e-06,0.251791392990678,0.273,0.102,0.0135164184628245,"3","CENPT"
1.01241537609632e-06,0.253180832896407,0.286,0.11,0.0135187825170142,"3","HAGHL"
1.0598469625656e-06,0.306656605458582,0.403,0.188,0.0141521364911385,"3","EEFSEC"
1.06256987337964e-06,0.267662473842719,0.442,0.209,0.0141884955192384,"3","PPP6R1"
1.0929709532536e-06,0.304382665315751,0.325,0.137,0.0145944411387953,"3","COMT"
1.10884136282943e-06,0.695538070699111,0.649,0.431,0.0148063587178614,"3","EGFL7"
1.11318425066961e-06,0.467219866577362,1,0.986,0.0148643492991913,"3","CTSD"
1.13118520535326e-06,0.295517607060991,0.649,0.363,0.015104716047082,"3","ITGB5"
1.14213302512425e-06,0.368656455822839,0.545,0.301,0.0152509022844841,"3","MOB2"
1.23268973844257e-06,0.402589260041354,0.701,0.469,0.0164601060774237,"3","EIF3CL"
1.24339669917704e-06,0.330558334795943,0.455,0.227,0.016603076124111,"3","MRPS11"
1.27017293170852e-06,0.377110797809619,0.455,0.233,0.0169606191571039,"3","LRRN4CL"
1.29671535039317e-06,0.414947092107322,0.532,0.302,0.0173150400738,"3","ATG101"
1.373887941547e-06,0.339523773169367,0.481,0.252,0.0183455256834771,"3","PPP1R35"
1.38197778063058e-06,0.322160784654994,0.455,0.231,0.0184535493047601,"3","CASTOR1"
1.49115063165075e-06,0.251528951875982,0.364,0.157,0.0199113343844325,"3","ADGRE5"
1.60363149896301e-06,0.267037308984088,0.494,0.245,0.0214132914056531,"3","MCM5"
1.62568710438098e-06,0.440759827585965,0.688,0.517,0.0217077999047993,"3","SEC61A1"
1.69284645800556e-06,0.270392510192719,0.403,0.188,0.0226045787537482,"3","ALG12"
1.70304474903416e-06,0.463485307332103,0.727,0.582,0.0227407565338531,"3","MRPL54"
1.91229742142293e-06,0.311643845703629,0.351,0.159,0.0255349074682603,"3","UCP2"
2.04944897719971e-06,0.308803270782003,0.442,0.223,0.0273662921925478,"3","BABAM1"
2.09268108619588e-06,0.326100914659239,0.519,0.286,0.0279435705439736,"3","PKN1"
2.16840874873396e-06,0.340276334914933,0.468,0.241,0.0289547620218446,"3","NCAPH2"
2.22341814175865e-06,0.263726540145911,0.351,0.155,0.0296893024469033,"3","SREBF1"
2.26576221519963e-06,0.484456969311161,0.74,0.585,0.0302547228595606,"3","AK1"
2.35546431884877e-06,0.434425177359215,0.909,0.796,0.0314525150495876,"3","NDUFS6"
2.40683823368842e-06,0.324037524570231,0.468,0.238,0.0321385109344415,"3","PEX11G"
2.42053644156791e-06,0.286063687107803,0.403,0.194,0.0323214231042563,"3","CHMP1A"
2.45248429876008e-06,0.283864387265534,0.377,0.173,0.0327480228413434,"3","PXDN"
2.45419824492139e-06,0.296659969038454,0.506,0.267,0.0327709091644353,"3","DDRGK1"
2.60591246178635e-06,0.275092166154796,0.455,0.228,0.0347967491022332,"3","REEP5"
2.61060182787657e-06,0.33128178274204,0.506,0.273,0.0348593662076359,"3","THAP3"
2.71991085176065e-06,0.269151454122056,0.312,0.13,0.0363189696035599,"3","LIMS2"
2.74907809996414e-06,0.279005362745577,0.338,0.149,0.0367084398688212,"3","MAD2L2"
2.79119842103723e-06,0.293790345506703,0.403,0.19,0.0372708725161102,"3","PLAT"
2.82714211491623e-06,0.252564807926775,0.39,0.18,0.0377508286604764,"3","MCAT"
3.14557804463733e-06,0.302620343698072,0.416,0.206,0.0420029036300423,"3","SCAP"
3.26566987474411e-06,0.360279359562558,0.558,0.316,0.0436064898374581,"3","NOSIP"
3.39782523936981e-06,0.25443831983605,0.26,0.101,0.045371160421305,"3","IFT27"
3.47368022684845e-06,0.351259862272723,0.532,0.301,0.0463840520691074,"3","GSTM3"
3.65701666188404e-06,0.284438017115828,0.429,0.207,0.0488321434861376,"3","PMP22"
3.67031925524044e-06,0.320138689343857,0.468,0.251,0.0490097730152256,"3","COMMD9"
3.73951406625724e-06,0.30010676112317,0.39,0.185,0.0499337313267329,"3","SIPA1"
3.82725797735861e-06,0.340205099509863,0.416,0.211,0.0511053757716696,"3","FAHD2A"
4.04519038656948e-06,0.260421267928415,0.416,0.2,0.0540154272318622,"3","LIG1"
4.30388573821891e-06,0.382770564000467,0.883,0.733,0.0574697862624371,"3","METTL26"
4.32708362599616e-06,0.471003008903523,0.584,0.375,0.0577795476579267,"3","INKA1"
4.4363443072125e-06,0.250063332082837,0.299,0.125,0.0592385055342085,"3","PMM1"
4.43640146663701e-06,0.25896135115357,0.481,0.247,0.0592392687840039,"3","GTF2F1"
4.67831512793157e-06,0.359846979103705,0.481,0.261,0.0624695419032703,"3","PEX16"
4.96192630505748e-06,0.269131471504362,0.416,0.205,0.0662566019514326,"3","TMEM101"
5.01312504546913e-06,0.304300681429514,0.597,0.347,0.0669402587321493,"3","CTSA"
5.46667980283696e-06,0.370565043866864,0.896,0.84,0.0729965754072819,"3","BANF1"
5.51858048038885e-06,0.40514510804194,0.857,0.666,0.0736896051546323,"3","TMED9"
5.63462650522007e-06,0.287055306384844,0.506,0.272,0.0752391677242036,"3","PRPF31"
5.8444686285264e-06,0.330808079619257,0.481,0.266,0.078041189596713,"3","NELFE"
5.93711050775384e-06,0.351407599918165,0.701,0.499,0.079278236610037,"3","PSMD8"
5.94514640802781e-06,0.500782006609118,0.961,0.91,0.0793855399863954,"3","SPARC"
6.08233691273178e-06,0.287583899457411,0.442,0.227,0.0812174447957074,"3","SNRPA"
6.32330659894524e-06,0.28828868919545,0.442,0.23,0.0844351130157157,"3","TRIM47"
6.58237131452266e-06,0.34722228716385,0.597,0.364,0.0878944041628211,"3","FSCN1"
6.72151006887644e-06,0.274673386749566,0.429,0.215,0.0897523239497071,"3","DKK3"
